Title,Studio,Genre,Rating,Release Date,DTR,Day of Week,OBO,Organic Conversation,Organic Intent,Humor,Group Dynamic,Paid Push,Twitter Mentions,Facebook PTAT,Wikipedia Desktop,Wikipedia All,YouTube Views,Theater Count,Holiday
Do You Believe?,Pure Flix Entertainment,Human Interest Drama,PG-13,3/20/2015,1,Fri,3591282,1056,101,51,8,26,428,280778,29625,NA,NA,1320,
The Divergent Series: Insurgent,Lionsgate Films,Action Drama,PG-13,3/20/2015,1,Fri,52263680,48476,7312,2924,307,1263,62405,957629,632012,NA,NA,3875,
The Gunman,Open Road Films,Action Drama,R,3/20/2015,1,Fri,5028702,2346,231,110,10,161,2128,23860,149804,NA,NA,2816,
Get Hard,Warner Bros.,Human Interest Comedy,R,3/27/2015,1,Fri,33803253,4320,832,1235,53,215,3401,209562,257881,NA,NA,3175,
Home (2015),20th Century Fox,Family,PG,3/27/2015,1,Fri,52107731,NA,NA,NA,NA,NA,NA,208172,319834,NA,NA,3708,
It Follows,The Weinstein Company,Horror,R,3/27/2015,1,Fri,3811052,2718,462,266,32,62,1195,27182,280731,NA,NA,1218,
Furious 7,Universal,Action Adventure,PG-13,4/3/2015,1,Fri,147187040,83152,13484,2817,894,3857,134950,7194282,1284956,NA,NA,4004,
Danny Collins,Bleecker Street Media,Human Interest Comedy,R,4/10/2015,1,Fri,1479158,578,74,138,6,39,278,NA,82700,NA,NA,738,
The Longest Ride,20th Century Fox,Romantic Drama,PG-13,4/10/2015,1,Fri,13019686,9330,2752,430,1127,4882,18691,95691,231634,NA,NA,3366,
Woman in Gold,The Weinstein Company,Human Interest Drama,PG-13,4/10/2015,1,Fri,5483125,1507,138,167,3,71,804,32479,175983,NA,NA,1504,
Paul Blart: Mall Cop 2,Sony Pictures,Zany Comedy,PG,4/17/2015,1,Fri,23762435,2929,487,502,20,573,2750,120878,198415,NA,NA,3633,
True Story,Fox Searchlight Pictures,Human Interest Drama,R,4/17/2015,1,Fri,1950214,NA,NA,NA,NA,NA,NA,326,301920,NA,NA,831,
Unfriended,Universal,Horror,R,4/17/2015,1,Fri,15845115,5691,1212,513,228,255,12356,404157,620172,NA,NA,2739,
While We're Young,A24 Films,Human Interest Comedy,R,4/17/2015,1,Fri,1438384,NA,NA,NA,NA,NA,NA,3328,NA,NA,NA,713,
Ex Machina,A24 Films,Suspense/Thriller,R,4/24/2015,1,Fri,5349499,3432,347,245,17,110,3296,14426,509114,1,NA,1255,
Little Boy,Sundance Selects,Human Interest Drama,PG-13,4/24/2015,1,Fri,2750356,NA,NA,NA,NA,NA,NA,28136,64608,NA,NA,1045,
The Age of Adaline,Lionsgate Films,Romantic Drama,PG-13,4/24/2015,1,Fri,13203458,3639,773,312,79,367,7492,153691,379654,NA,NA,2991,
Avengers: Age of Ultron,Disney,Action Adventure,PG-13,5/1/2015,1,Fri,191271109,277266,40171,14196,1408,16975,351605,634663,4125377,NA,NA,4276,
Hot Pursuit (2015),Warner Bros.,Action Comedy,PG-13,5/8/2015,1,Fri,13942258,2295,379,449,10,1265,3349,94797,165250,NA,NA,3003,
The D Train,IFC Films,Human Interest Comedy,R,5/8/2015,1,Fri,447524,NA,NA,NA,NA,NA,NA,1253,37182,NA,NA,1009,
Mad Max: Fury Road,Warner Bros.,Action Adventure,R,5/15/2015,1,Fri,45428128,28781,4375,2371,173,441,18213,253355,1097729,NA,NA,3702,
Pitch Perfect 2,Universal,Human Interest Comedy,PG-13,5/15/2015,1,Fri,69216890,25145,5554,2891,334,951,30558,700158,660067,NA,NA,3473,
Disney's Tomorrowland,Disney,Family,PG,5/22/2015,1,Fri,33028165,15724,1925,623,143,744,21715,115973,718658,NA,NA,4267,Memorial Day
Far from the Madding Crowd,Fox Searchlight Pictures,Human Interest Drama,PG-13,5/22/2015,1,Fri,2287234,2204,305,216,18,208,1072,13094,12918,NA,NA,865,Memorial Day
Poltergeist (2015),20th Century Fox,Horror,PG-13,5/22/2015,1,Fri,22620386,15549,2310,987,180,218,17701,74355,293756,NA,NA,3240,Memorial Day
Aloha,Sony Pictures,Romantic Comedy,PG-13,5/29/2015,1,Fri,9670235,3597,679,159,19,151,1478,16409,340084,NA,1257703,2815,
San Andreas,Warner Bros.,Action Adventure,PG-13,5/29/2015,1,Fri,54588173,11186,1256,879,91,449,13634,245419,772083,NA,5175248,3777,
Entourage,Warner Bros.,Human Interest Comedy,R,6/3/2015,1,Wed,10283250,12426,2059,1223,124,2014,15125,118345,504272,NA,NA,3108,
Insidious: Chapter 3,Focus Features,Horror,PG-13,6/5/2015,1,Fri,22692741,8584,1275,822,215,207,4362,316309,384377,NA,2210130,3002,
Spy,20th Century Fox,Action Comedy,R,6/5/2015,1,Fri,29085719,20125,3043,1871,80,373,11953,58356,485880,NA,NA,3711,
Jurassic World,Universal,Action Adventure,PG-13,6/12/2015,1,Fri,208806270,135291,18627,6723,1072,4332,221651,457997,1793850,NA,28451141,4274,
Dope,Open Road Films,Human Interest Comedy,R,6/19/2015,1,Fri,6100010,NA,NA,NA,NA,NA,NA,44208,144967,NA,NA,2002,
Inside Out (2015),Disney,Family,PG,6/19/2015,1,Fri,90440272,26734,5250,2357,172,2324,28998,73251,735640,NA,34376934,3946,
Love & Mercy,Roadside Attractions,Human Interest Drama,PG-13,6/19/2015,1,Fri,1748331,NA,NA,NA,NA,NA,NA,17444,172499,NA,NA,791,
Max (2015),Warner Bros.,Family,PG,6/26/2015,1,Fri,12155254,NA,NA,NA,NA,NA,NA,154290,173732,NA,NA,2855,
Ted 2,Universal,Zany Comedy,R,6/26/2015,1,Fri,33507870,32298,5494,4437,308,923,24923,402736,608580,NA,NA,3442,
Magic Mike XXL,Warner Bros.,Human Interest Drama,R,7/1/2015,1,Wed,12857184,37813,6602,2475,818,1287,52731,282637,535015,NA,NA,3355,Independence Day
Me and Earl and the Dying Girl,Fox Searchlight Pictures,Human Interest Drama,PG-13,7/1/2015,1,Wed,1246803,1980,186,368,12,2061,4544,2258,107116,NA,4175939,870,
Terminator: Genisys,Paramount,Action Drama,PG-13,7/1/2015,1,Wed,27018486,30204,4452,3259,423,1119,24482,136871,1489205,NA,NA,3758,Independence Day
Minions,Universal,Family,PG,7/10/2015,1,Fri,115718405,54252,8101,7429,893,2817,56030,182872,760420,NA,80066613,4301,
Self/less,Focus Features,Suspense/Thriller,PG-13,7/10/2015,1,Fri,5403460,NA,NA,NA,NA,NA,NA,14448,125989,NA,NA,2353,
The Gallows,Warner Bros.,Horror,R,7/10/2015,1,Fri,9808463,4098,2374,147,460,402,6417,166885,18597,NA,NA,2720,
Ant-Man,Disney,Action Adventure,PG-13,7/17/2015,1,Fri,57225526,51132,6025,3215,417,7835,73016,112982,1402205,802508,14008834,3856,
Trainwreck,Universal,Romantic Comedy,R,7/17/2015,1,Fri,30097040,10320,1955,1746,140,138,13675,191268,485262,991706,12345627,3158,
Mr. Holmes,Roadside Attractions,Human Interest Drama,PG,7/24/2015,1,Fri,2868335,NA,NA,NA,NA,NA,NA,NA,218895,NA,NA,686,
Paper Towns,20th Century Fox,Romantic Drama,PG-13,7/24/2015,1,Fri,12650140,44591,9190,1755,1527,3326,115954,131260,424970,NA,NA,3031,
Pixels,Sony Pictures,Action Comedy,PG-13,7/24/2015,1,Fri,24011616,11134,1702,723,139,909,16532,35272,693866,NA,NA,3723,
Southpaw,The Weinstein Company,Human Interest Drama,R,7/24/2015,1,Fri,16701294,9658,3171,430,354,354,16816,98005,549661,NA,NA,2772,
Vacation (2015),Warner Bros.,Human Interest Comedy,R,7/29/2015,1,Wed,14681108,NA,NA,NA,NA,NA,NA,134313,502508,NA,NA,3411,
Mission: Impossible - Rogue Nation,Paramount,Action Drama,PG-13,7/31/2015,1,Fri,55520089,24272,2561,1776,170,1150,33914,96202,649883,NA,41181323,3956,
Shaun the Sheep Movie,Lionsgate Films,Family,PG,8/5/2015,1,Wed,4038962,5631,247,658,11,549,2845,76864,92325,52264,3395242,2320,
Fantastic Four (2015),20th Century Fox,Action Adventure,PG-13,8/7/2015,1,Fri,25685737,59217,6835,2675,450,1876,74520,40163,849704,NA,NA,3995,
Irrational Man,Sony Pictures Classics,Human Interest Drama,R,8/7/2015,1,Fri,836034,NA,NA,NA,NA,NA,NA,NA,209345,NA,NA,925,
Ricki and the Flash,Sony Pictures,Human Interest Drama,PG-13,8/7/2015,1,Fri,6610961,1242,156,200,14,113,1678,53420,178226,225108,7373083,1603,
The Gift (2015),STX Entertainment,Suspense/Thriller,R,8/7/2015,1,Fri,11854273,3877,692,331,30,58,2556,14779,222022,NA,NA,2503,
Straight Outta Compton,Universal,Human Interest Drama,R,8/14/2015,1,Fri,60200180,35032,7869,1500,1685,2150,89782,524545,691247,NA,NA,2757,
The Man from U.N.C.L.E.,Warner Bros.,Action Drama,PG-13,8/14/2015,1,Fri,13421036,3950,477,524,32,238,4335,19954,503667,NA,9818094,3638,
American Ultra,Lionsgate Films,Action Comedy,R,8/21/2015,1,Fri,5454284,4074,523,296,46,145,5296,40199,221753,300030,15792290,2778,
Hitman: Agent 47,20th Century Fox,Action Drama,R,8/21/2015,1,Fri,8326530,9920,1148,465,83,718,9848,19928,374041,NA,NA,3261,
Sinister 2,Focus Features,Horror,R,8/21/2015,1,Fri,10542116,9055,1607,571,492,211,7764,153947,258863,358418,8739307,2766,
No Escape (2015),The Weinstein Company,Suspense/Thriller,R,8/26/2015,1,Wed,8111264,1562,197,137,10,54,1395,1857,230287,428331,13495147,3355,
The Diary of a Teenage Girl,Sony Pictures Classics,Romantic Drama,R,8/28/2015,1,Fri,393153,NA,NA,NA,NA,NA,NA,2649,105525,NA,NA,795,
War Room,Sony Pictures,Human Interest Drama,PG,8/28/2015,1,Fri,11351389,1203,228,136,27,64,1003,225947,51061,NA,NA,1135,
We Are Your Friends,Warner Bros.,Human Interest Drama,R,8/28/2015,1,Fri,1767308,1856,272,172,20,242,3735,60534,214979,NA,NA,2333,
A Walk in the Woods,Broad Green Pictures,Human Interest Comedy,R,9/2/2015,1,Wed,8246267,982,159,193,6,70,535,88094,61865,74234,687967,1960,Labor Day
The Transporter Refueled,EuropaCorp USA,Action Drama,PG-13,9/4/2015,1,Fri,7355622,4844,546,219,20,555,3131,40560,127209,NA,NA,3434,Labor Day
90 Minutes in Heaven,Samuel Goldwyn Films,Human Interest Drama,PG-13,9/11/2015,1,Fri,2035273,345,65,47,2,19,269,71702,36429,54950,137637,877,
The Perfect Guy,Sony Pictures,Suspense/Thriller,PG-13,9/11/2015,1,Fri,25888154,NA,NA,NA,NA,NA,NA,279918,94030,NA,NA,2221,
The Visit (2015-I),Universal,Horror,PG-13,9/11/2015,1,Fri,25427560,NA,NA,NA,NA,NA,NA,425724,564507,NA,NA,3069,
Black Mass,Warner Bros.,Suspense/Thriller,R,9/18/2015,1,Fri,22635037,8425,1604,557,238,339,13298,149767,812773,1181116,10939161,3188,
Captive (2015),Paramount,Suspense/Thriller,PG-13,9/18/2015,1,Fri,1393243,1510,109,96,6,58,1384,109931,104986,146908,586169,806,
Grandma,Sony Pictures Classics,Human Interest Comedy,R,9/18/2015,1,Fri,1501101,NA,NA,NA,NA,NA,NA,6817,54079,NA,NA,1021,
Maze Runner: Scorch Trials,20th Century Fox,Suspense/Thriller,PG-13,9/18/2015,1,Fri,30316510,66276,10221,2685,617,6408,131591,173154,472915,874218,22186586,3791,
Everest (2015),Universal,Action Drama,PG-13,9/25/2015,1,Fri,13242895,11532,1467,661,79,487,11314,82694,894489,NA,NA,3006,
Hotel Transylvania 2,Sony Pictures,Family,PG,9/25/2015,1,Fri,48464322,5998,1006,546,76,1377,35079,205674,379497,420962,38430697,3754,
Pawn Sacrifice,Bleecker Street Media,Human Interest Drama,PG-13,9/25/2015,1,Fri,1005071,547,71,76,2,42,301,9016,168748,193487,1657734,781,
The Green Inferno,High Top Releasing,Horror,R,9/25/2015,1,Fri,3520626,2313,569,113,72,129,3419,140258,311058,NA,NA,1540,
The Intern,Warner Bros.,Human Interest Comedy,PG-13,9/25/2015,1,Fri,17728313,2870,423,381,27,130,7827,51018,294048,360693,9725485,3305,
Sicario,Lionsgate Films,Action Drama,R,10/2/2015,1,Fri,12148041,4396,600,346,28,315,5587,25863,381293,611249,12097093,2620,
The Martian,20th Century Fox,Action Drama,PG-13,10/2/2015,1,Fri,54308575,17446,2638,1229,185,1155,29037,64063,1002907,1223088,34678697,3831,
99 Homes,Broad Green Pictures,Human Interest Drama,R,10/9/2015,1,Fri,647825,NA,NA,NA,NA,NA,NA,1768,92771,NA,NA,691,
Pan,Warner Bros.,Family,PG,10/9/2015,1,Fri,15315435,NA,NA,NA,NA,NA,NA,47330,543641,NA,NA,3515,
The Walk,Sony Pictures,Human Interest Drama,PG,10/9/2015,1,Fri,3719177,3793,227,399,51,203,3662,33347,487545,1024335,7294674,2509,
Bridge of Spies,Disney,Human Interest Drama,PG-13,10/16/2015,1,Fri,15371203,2650,303,292,34,126,2363,7369,531039,703827,3099066,2811,
Crimson Peak,Universal,Horror,R,10/16/2015,1,Fri,13143310,7206,1169,433,73,278,18955,98211,740335,NA,NA,2984,
Goosebumps,Sony Pictures,Family,PG,10/16/2015,1,Fri,23618556,10010,967,432,52,186,12349,52270,339457,472912,25442405,3501,
Woodlawn,Pure Flix Entertainment,Human Interest Drama,PG,10/16/2015,1,Fri,4002226,1736,411,27,17,219,3142,319779,30129,87209,77730,1553,
Jem and the Holograms,Universal,Human Interest Drama,PG,10/23/2015,1,Fri,1375320,2899,227,305,23,274,3716,36114,234198,306323,1848800,2413,
Paranormal Activity: The Ghost Dimension,Paramount,Horror,R,10/23/2015,1,Fri,8070493,2735,494,470,109,158,2191,206198,258694,391029,2984595,1656,
Rock the Kasbah,Open Road Films,Human Interest Comedy,R,10/23/2015,1,Fri,1470592,1194,104,196,16,80,1334,4324,145659,199951,4258744,2012,
Steve Jobs,Universal,Human Interest Drama,R,10/23/2015,1,Fri,7105735,17817,1687,980,103,536,20945,12344,591840,NA,NA,2493,
The Last Witch Hunter,Lionsgate Films,Action Drama,PG-13,10/23/2015,1,Fri,10812861,2587,259,191,23,175,2816,73903,354223,NA,NA,3082,
Burnt,The Weinstein Company,Human Interest Drama,R,10/30/2015,1,Fri,5002521,295,32,9,1,15,596,3295,253988,346023,6120347,3003,
Our Brand is Crisis (2015),Warner Bros.,Human Interest Comedy,R,10/30/2015,1,Fri,3238433,2116,203,335,32,542,2903,5931,116857,256397,3640601,2202,
Scouts Guide to the Zombie Apocalypse,Paramount,Zany Comedy,R,10/30/2015,1,Fri,1841007,977,129,124,8,83,1384,56081,91251,NA,NA,1509,
Truth,Sony Pictures Classics,Human Interest Drama,R,10/30/2015,1,Fri,875935,NA,NA,NA,NA,NA,NA,NA,153765,NA,NA,1122,
Spectre,Sony Pictures,Action Adventure,PG-13,11/6/2015,1,Fri,70403148,84120,7438,3757,353,1432,108938,84779,2083272,NA,NA,3929,
The Peanuts Movie,20th Century Fox,Family,G,11/6/2015,1,Fri,44213073,27679,3365,1147,201,4875,41268,165878,277401,374640,9322399,3897,
Love the Coopers,Lionsgate Films,Human Interest Comedy,PG-13,11/13/2015,1,Fri,8317545,602,62,109,2,722,1208,105830,90705,NA,NA,2603,
My All American,Aviron Pictures,Human Interest Drama,PG,11/13/2015,1,Fri,1365000,711,102,60,2,2795,4143,22525,4087,NA,NA,1565,
The 33,Warner Bros.,Human Interest Drama,PG-13,11/13/2015,1,Fri,5787266,1852,279,232,18,215,2043,41135,182703,NA,NA,2452,
Secret in Their Eyes,STX Entertainment,Suspense/Thriller,PG-13,11/20/2015,1,Fri,6652996,925,105,172,8,369,929,3380,169277,370358,8357111,2392,
The Hunger Games: Mockingjay Part 2,Lionsgate Films,Action Adventure,PG-13,11/20/2015,1,Fri,102665981,146809,16085,7156,1533,12529,316959,225133,718217,NA,NA,4175,
The Night Before (2015),Sony Pictures,Human Interest Comedy,R,11/20/2015,1,Fri,9880536,3184,497,386,41,117,3904,NA,169930,307174,21575611,2960,
Creed,Warner Bros.,Human Interest Drama,PG-13,11/25/2015,1,Wed,29632823,13193,2210,1085,206,307,11718,165862,796291,NA,NA,3404,Thanksgiving
The Good Dinosaur,Disney,Family,PG,11/25/2015,1,Wed,39155217,13005,1916,721,147,1174,23703,34450,601458,827999,32785058,3749,Thanksgiving
Victor Frankenstein,20th Century Fox,Suspense/Thriller,PG-13,11/25/2015,1,Wed,2469341,1353,141,199,10,44,1654,9959,325866,474448,9502633,2797,Thanksgiving
Brooklyn (2015-I),Fox Searchlight Pictures,Romantic Drama,PG-13,11/27/2015,1,Fri,3946667,NA,NA,NA,NA,NA,NA,5609,242009,NA,NA,845,
Spotlight,Open Road Films,Human Interest Drama,R,11/27/2015,1,Fri,4408252,7412,928,518,52,209,5209,11213,320887,634881,2076094,897,
Trumbo (2015),Bleecker Street Media,Human Interest Drama,R,11/27/2015,1,Fri,1613397,NA,NA,NA,NA,NA,NA,4250,224580,NA,NA,617,
Krampus,Universal,Horror,PG-13,12/4/2015,1,Fri,16293325,2775,514,275,54,153,5191,116160,415956,NA,NA,2902,
The Letters,Freestyle Releasing,Human Interest Drama,PG,12/4/2015,1,Fri,700683,NA,NA,NA,NA,NA,NA,24435,4451,NA,NA,886,
In the Heart of the Sea,Warner Bros.,Action Drama,PG-13,12/11/2015,1,Fri,11053366,2598,318,313,20,1618,5834,32550,547692,1058196,7232200,3103,
Alvin and the Chipmunks: The Road Chip,20th Century Fox,Family,PG,12/18/2015,1,Fri,14287159,2822,474,319,23,673,4104,140658,260204,442299,7647957,3653,
Sisters (2015),Universal,Human Interest Comedy,R,12/18/2015,1,Fri,13922855,4030,470,1274,59,302,6938,399683,217507,444508,13340342,2962,
Star Wars: The Force Awakens,Disney,Action Adventure,PG-13,12/18/2015,1,Fri,247966675,539106,76919,32702,5092,48720,975457,343748,5197103,9846666,202610109,4134,
Concussion (2015),Sony Pictures,Human Interest Drama,PG-13,12/25/2015,1,Fri,10513749,21436,2362,873,204,589,47977,8799,548833,NA,NA,2841,
Daddy's Home (2015),Paramount,Human Interest Comedy,PG-13,12/25/2015,1,Fri,38740203,1377,178,333,12,193,1747,317570,201103,NA,NA,3271,
Joy,20th Century Fox,Human Interest Drama,PG-13,12/25/2015,1,Fri,17015168,NA,NA,NA,NA,NA,NA,52391,886335,NA,NA,2896,
Point Break (2015),Warner Bros.,Action Drama,PG-13,12/25/2015,1,Fri,9800252,3091,332,255,14,138,3129,9366,306705,632157,21348620,2910,
The Big Short,Paramount,Human Interest Drama,R,12/25/2015,1,Fri,10531026,5425,502,908,22,146,5774,7541,599366,1115466,9826451,1585,
The Hateful Eight,The Weinstein Company,Action Drama,R,1/1/2016,1,Fri,15706645,24363,2617,1397,111,522,34145,30501,1579982,3044404,26252398,2474,
The Forest (2016-I),Focus Features,Horror,PG-13,1/8/2016,1,Fri,12741176,1940,304,122,34,73,2063,10654,288065,828187,2918831,2451,
The Revenant (2015),20th Century Fox,Suspense/Thriller,R,1/8/2016,1,Fri,39826840,20690,2926,1441,91,770,28370,86737,2223255,NA,NA,3375,
13 Hours: The Secret Soldiers of Benghazi,Paramount,Action Drama,R,1/15/2016,1,Fri,16194738,7578,908,369,51,490,12284,192338,524263,1131495,12325957,2389,Martin Luther King Jr. Day
Carol,The Weinstein Company,Romantic Drama,R,1/15/2016,1,Fri,1458049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,Martin Luther King Jr. Day
Norm of the North,Lionsgate Films,Family,PG,1/15/2016,1,Fri,6844137,603,64,74,3,405,915,39336,89868,146325,1134597,2411,Martin Luther King Jr. Day
Ride Along 2,Universal,Action Comedy,PG-13,1/15/2016,1,Fri,35243095,15343,3757,2863,560,2958,50967,276004,180518,358155,23598631,3175,Martin Luther King Jr. Day
Dirty Grandpa,Lionsgate Films,Human Interest Comedy,R,1/22/2016,1,Fri,11111875,2741,299,309,26,230,3991,71615,256896,477651,13035011,2912,
Room (2015),A24 Films,Human Interest Drama,R,1/22/2016,1,Fri,1335563,NA,NA,NA,NA,NA,NA,10065,939827,NA,NA,862,
The 5th Wave,Sony Pictures,Action Adventure,PG-13,1/22/2016,1,Fri,10326356,12875,3065,396,250,804,21710,89601,354495,740014,29124006,2908,
The Boy (2016),STX Entertainment,Horror,PG-13,1/22/2016,1,Fri,10778392,4121,605,362,149,573,4700,17221,274234,759149,44515,2671,
The Danish Girl,Focus Features,Human Interest Drama,R,1/22/2016,1,Fri,526374,NA,NA,NA,NA,NA,NA,5872,1058947,NA,NA,794,
Fifty Shades of Black,Open Road Films,Zany Comedy,R,1/29/2016,1,Fri,5900528,2951,511,506,59,419,4482,91836,210592,434061,11970459,2075,
Jane Got a Gun,The Weinstein Company,Action Drama,R,1/29/2016,1,Fri,835572,741,82,80,6,18,463,24142,143661,220972,2382092,1210,
Kung Fu Panda 3,20th Century Fox,Family,PG,1/29/2016,1,Fri,41282042,7707,998,978,42,1557,7829,206118,525339,940887,31727023,3955,
The Finest Hours,Disney,Action Drama,PG-13,1/29/2016,1,Fri,10288932,1645,195,124,9,365,3043,13403,367360,984529,8374886,3143,
"Hail, Caesar!",Universal,Human Interest Comedy,PG-13,2/5/2016,1,Fri,11355225,2318,294,430,12,148,2185,126361,549174,931992,19741807,2232,
Pride and Prejudice and Zombies,Sony Pictures,Action Comedy,PG-13,2/5/2016,1,Fri,5324240,2848,370,322,42,153,2474,45790,319091,NA,NA,2931,
The Choice (2016),Lionsgate Films,Romantic Drama,PG-13,2/5/2016,1,Fri,6050443,3372,467,374,80,4921,12298,93003,54834,118979,201618,2631,
Deadpool,20th Century Fox,Action Adventure,R,2/12/2016,1,Fri,132434639,165197,22710,11350,3239,24494,341300,503821,1867646,3861901,192944752,3558,President's Day
How to Be Single,Warner Bros.,Romantic Comedy,R,2/12/2016,1,Fri,17878911,3752,403,231,16,250,6772,91631,225400,436266,9865492,3343,President's Day
Zoolander 2,Paramount,Zany Comedy,PG-13,2/12/2016,1,Fri,13841146,21479,2153,10495,178,794,66620,176660,455935,859338,47073140,3394,President's Day
Race (2016),Focus Features,Human Interest Drama,PG-13,2/19/2016,1,Fri,7353922,NA,NA,NA,NA,NA,NA,6188,42406,NA,NA,2369,
Risen (2016),Sony Pictures,Human Interest Drama,PG-13,2/19/2016,1,Fri,11801271,3830,693,364,49,131,2193,143979,193773,NA,NA,2915,
The Witch,A24 Films,Horror,R,2/19/2016,1,Fri,8800230,3356,387,255,35,46,3530,252863,295425,565456,23286625,2046,
Eddie the Eagle,20th Century Fox,Human Interest Comedy,PG-13,2/26/2016,1,Fri,6084682,2357,262,200,16,1222,4812,89791,248957,527975,8345834,2042,
